Região,Temperatura,Umidade,Tipo de Solo,Inclinação,Chuva,Vibração,Risco,Nivel de Risco
B,27.990360993309352,42.15477620096266,Rochoso,Moderada,Sem chuva,0.7727766873048202,0.19924023490089598,Baixo
D,28.27697938133099,57.28599950335027,Argiloso,Forte,Chovendo,0.39546791854374463,5.053292526525826,Médio
D,31.388096270295573,58.959575095544196,Argiloso,Forte,Chovendo,0.6504636302826166,6.364361165416464,Alto
A,30.646737407968512,61.08568968080306,Arenoso,Moderada,Sem chuva,0.061262229002044734,1.9387007394602678,Baixo
B,25.16706495891212,42.359017650524194,Argiloso,Forte,Chovendo,0.536847390401673,3.9515231553408148,Médio
B,26.005578258153573,59.39333830112382,Arenoso,Moderada,Chovendo,0.7271128160572671,5.84008000441638,Alto
D,30.419502901078953,79.21308314986973,Argiloso,Leve,Chovendo,0.3204718433832225,6.189870670452707,Alto
B,29.20217252717818,57.320070820368706,Arenoso,Moderada,Sem chuva,0.7046290642457298,1.8564348605229914,Baixo
B,26.99508532512887,49.43719718477042,Arenoso,Forte,Sem chuva,0.579764996497285,0.701879708852968,Baixo
B,30.22444032210329,63.42148552705969,Arenoso,Moderada,Sem chuva,0.44219702681239836,3.047268893821546,Baixo
B,30.21842368801343,43.38062672540407,Rochoso,Moderada,Sem chuva,0.45708850936464057,0.27042223469650606,Baixo
B,28.398520109497046,60.05083983144507,Arenoso,Leve,Sem chuva,0.7286286038208426,1.7121132899387148,Baixo
D,24.849310364021633,61.029873819463624,Rochoso,Moderada,Chovendo,1.189520312066698,5.746909170725336,Alto
B,30.524037358984472,71.44415434486598,Argiloso,Forte,Chovendo,0.3629489461370668,6.577032615286591,Alto
B,33.13796180845586,61.26726633691778,Rochoso,Moderada,Sem chuva,0.6130404069604444,1.6874828185236812,Baixo
C,27.191106634795307,45.435238008461255,Arenoso,Moderada,Sem chuva,0.45077309507792485,1.5691119966046967,Baixo
D,21.74074779792084,77.59772526134668,Arenoso,Forte,Chovendo,0.3452306693977207,8.102209718743554,Alto
D,35.33265178088107,58.96011769814045,Rochoso,Leve,Chovendo,0.6767153114006609,3.942974478827259,Médio
C,27.471815641308204,72.85974927036865,Argiloso,Moderada,Sem chuva,0.703484221936853,3.669652154068024,Médio
D,31.755176635671816,58.18305752032682,Argiloso,Moderada,Chovendo,0.7298761551627816,4.638635899183461,Médio
B,35.32659920779898,55.41208407530966,Argiloso,Moderada,Sem chuva,0.5215509028805854,1.5916419344123591,Baixo
D,31.532526042254645,51.66069064836152,Rochoso,Moderada,Sem chuva,0.35302615749920246,0.8782217330064848,Baixo
C,26.05184660960466,47.60073597578448,Arenoso,Leve,Sem chuva,0.5321868147754861,1.2694989956615357,Baixo
C,31.645161948349596,64.65071288987616,Argiloso,Forte,Sem chuva,0.5486072527770156,2.7577567163536876,Baixo
A,23.404077093817243,66.5676801034499,Argiloso,Moderada,Sem chuva,0.46956370461374397,3.3209387426268044,Baixo
C,26.20253190852526,70.08919370327278,Rochoso,Moderada,Sem chuva,0.5091500576544937,2.637714145746317,Baixo
B,26.35224246672807,71.90109211188329,Argiloso,Leve,Chovendo,0.4482582253480661,5.990291146425197,Alto
B,29.73260205631067,56.24123117340182,Arenoso,Moderada,Sem chuva,0.6750907121506715,2.1834521802984703,Baixo
B,27.623403709732845,58.19935893518415,Arenoso,Moderada,Sem chuva,0.45646061588139253,1.9112560644069478,Baixo
D,37.96450679321955,77.58874426787165,Rochoso,Forte,Sem chuva,0.1251493855897254,3.9925886553885634,Médio
B,23.941393843922267,74.17978452345346,Argiloso,Leve,Chovendo,0.5237708537136069,6.171465975367801,Alto
B,31.538929757448106,45.87659057676173,Arenoso,Moderada,Sem chuva,0.4708211416045908,0.8981532103530924,Baixo
A,32.85577332423848,65.08648143593334,Arenoso,Forte,Chovendo,0.47613063723773136,7.274372410016467,Alto
A,34.028566218643135,43.6736547442275,Arenoso,Leve,Sem chuva,1.2359933715567621,1.6006229309048394,Baixo
A,26.246586224233283,53.990765616210744,Argiloso,Forte,Chovendo,0.6063052088092287,5.334283036295185,Médio
C,32.12787779203977,40.66775276506414,Argiloso,Moderada,Sem chuva,0.5005785669323908,0.0,Baixo
D,28.607535527695,73.3551143143591,Argiloso,Forte,Sem chuva,1.147585233437908,4.914418382683978,Médio
A,32.33313247208255,59.89949098439325,Arenoso,Moderada,Sem chuva,0.3320017998715479,2.51495407417628,Baixo
C,29.21686735884178,55.72287491420136,Arenoso,Forte,Chovendo,0.45723748095587136,5.000027485069321,Médio
C,29.92059813124327,58.35966338889203,Rochoso,Forte,Sem chuva,0.663186964144119,2.3010427199331027,Baixo
B,27.764214645276912,74.17552169615033,Arenoso,Forte,Sem chuva,0.21079525015705877,5.030912685707021,Médio
A,22.145162627138944,50.06587807230209,Rochoso,Leve,Chovendo,0.5979742756702467,2.8021237103548153,Baixo
C,32.03447638965305,40.010121538413664,Arenoso,Forte,Sem chuva,0.2897600894676379,0.0,Baixo
B,28.988538690838887,50.174953156911776,Arenoso,Moderada,Sem chuva,0.73374156625265,1.4875513595935446,Baixo
C,22.297319059437406,64.50943414023028,Arenoso,Leve,Sem chuva,0.5398405779101866,2.0242674759411328,Baixo
C,33.77096133394155,69.69507368614319,Arenoso,Forte,Chovendo,0.5700252134979157,7.607936749486661,Alto
D,33.303608247418396,59.15667551635474,Argiloso,Leve,Sem chuva,0.5021874513614004,1.992500731810783,Baixo
D,32.32101594868852,48.38632834235966,Argiloso,Moderada,Sem chuva,0.21855693826317968,0.21413846980028176,Baixo
D,36.27675399733384,55.645237325745924,Argiloso,Moderada,Sem chuva,0.6378938501062112,2.580845639046121,Baixo
D,26.791790924426955,65.86249050202159,Arenoso,Moderada,Chovendo,0.20585942163853516,5.837014046339284,Alto
C,26.088965343782355,63.98901307030495,Arenoso,Leve,Sem chuva,0.09656482881249517,1.9575608806770433,Baixo
B,35.265142782756975,45.25222570316519,Argiloso,Leve,Sem chuva,0.4647700101276998,0.0,Baixo
B,24.407337495439418,43.544732660762755,Arenoso,Moderada,Chovendo,0.3759548830165175,2.5902488490764344,Baixo
A,28.2161082288157,75.41646083391558,Argiloso,Moderada,Chovendo,0.530375704472319,7.062459208492647,Alto
B,30.45100914520364,58.18812484694572,Rochoso,Forte,Chovendo,0.3969999570066768,3.988451913409288,Médio
B,29.02024394646009,51.64034405938624,Rochoso,Moderada,Chovendo,0.3061049182754891,2.8116929698265394,Baixo
A,28.435717435420106,55.4613903557669,Argiloso,Forte,Sem chuva,0.40579721110613237,1.0538740253958228,Baixo
D,27.843491345221107,70.71795185997182,Rochoso,Leve,Sem chuva,0.5693813218514509,2.5516785869347443,Baixo
C,23.683110864497145,66.62774022780624,Argiloso,Forte,Sem chuva,0.7797059151496301,3.792807899725476,Médio
B,28.76735349950519,47.456157954004176,Arenoso,Moderada,Sem chuva,0.5164271480634677,0.6685238847125708,Baixo
A,36.542127103687285,48.419354265464754,Argiloso,Leve,Chovendo,0.1600207219425405,3.1398789347874025,Baixo
A,27.080095633069433,42.59243966481008,Argiloso,Moderada,Sem chuva,0.36801254888897,0.0,Baixo
B,28.292017010924752,66.31141944894533,Arenoso,Forte,Chovendo,0.5054076009167207,7.275313842390296,Alto
D,30.93971888466537,65.39092773878279,Arenoso,Leve,Sem chuva,0.3405429327509638,2.254044979924944,Baixo
A,24.28929271830489,58.60895612804596,Arenoso,Moderada,Sem chuva,0.14282775449865323,1.0104049096875498,Baixo
C,25.145563256097443,52.683707768188455,Rochoso,Moderada,Chovendo,1.0523868491130632,4.9404746547504645,Médio
D,27.92915881254826,61.99274766550083,Rochoso,Moderada,Chovendo,0.46548094013570473,4.5916536821483644,Médio
B,34.80737377197508,53.51373835544017,Argiloso,Leve,Sem chuva,0.37348173597921636,0.8283563474933542,Baixo
A,23.247054962401783,46.83193091165526,Rochoso,Leve,Chovendo,0.7076140232145319,3.6233186670468296,Médio
A,21.262686253477554,72.68700515644858,Rochoso,Leve,Sem chuva,0.4888187512048063,3.240564595917647,Baixo
D,29.752669268404407,56.97607557584752,Argiloso,Forte,Sem chuva,0.586264278650235,2.4059984430093433,Baixo
B,28.752587028437883,55.94659913006113,Rochoso,Leve,Chovendo,0.5387375698583964,3.918337359881129,Médio
B,21.74462223457711,66.09290520403161,Arenoso,Moderada,Chovendo,0.7069857704381212,6.681296265275623,Alto
C,23.152024118847578,74.88994521903,Argiloso,Moderada,Chovendo,0.5953561855386018,7.117772071686064,Alto
C,23.594189919171882,67.69188496277792,Arenoso,Leve,Sem chuva,0.5766563407476452,3.136156206324734,Baixo
D,26.289173068030966,67.40351266772362,Rochoso,Moderada,Chovendo,0.7347694056014671,5.6893368254134735,Alto
A,29.921042755021652,53.12350402163932,Argiloso,Forte,Sem chuva,0.7554212004946037,1.2173039663674596,Baixo
D,23.65899322266066,67.26785309056939,Rochoso,Moderada,Sem chuva,0.6629870311493005,3.6330593065276773,Médio
A,28.849991931714246,78.83134702561532,Arenoso,Leve,Sem chuva,0.4987128546125992,4.059761823083343,Médio
B,27.01181812301963,55.13102886770855,Argiloso,Leve,Chovendo,0.4566178609290102,4.4193028772512735,Médio
C,29.49996103940947,64.1630824492398,Rochoso,Leve,Chovendo,0.6935879897408768,4.889546098495848,Médio
A,25.15150298134693,60.67148897744735,Rochoso,Moderada,Sem chuva,0.39212751685756103,2.2545261401425627,Baixo
D,28.180391571995155,76.57387696115279,Argiloso,Leve,Sem chuva,0.45192775375618915,4.064648877803686,Médio
C,31.436345200529388,77.47621306313134,Arenoso,Leve,Sem chuva,0.36698134824492806,4.750796818717225,Médio
B,33.52236320790652,65.52689671758984,Rochoso,Moderada,Sem chuva,0.40477779362068544,2.290184627315564,Baixo
D,25.94999469114166,52.49082831639958,Argiloso,Moderada,Chovendo,0.5468548608359146,4.1765129532124385,Médio
B,30.662605873981057,66.9898469833644,Arenoso,Leve,Sem chuva,0.8008074749978656,3.0300849859838004,Baixo
D,32.31463096532424,64.6366871012271,Argiloso,Leve,Chovendo,0.41039288103302185,5.085221726036415,Médio
C,32.88140439476468,48.61825337011249,Rochoso,Forte,Sem chuva,0.7023878342062038,0.9404006940154399,Baixo
C,29.432376179979997,74.69354922257887,Rochoso,Moderada,Sem chuva,0.5056422487680646,3.2755791670328773,Baixo
D,36.231699144474575,56.69152127947281,Argiloso,Moderada,Sem chuva,0.6929831506209054,2.3290560103840354,Baixo
B,25.976417493218545,54.95064893930251,Rochoso,Leve,Chovendo,0.44456938398737245,2.7532419996689304,Baixo
A,30.406430424774104,54.227474715625476,Rochoso,Forte,Sem chuva,0.5257855826028829,0.605872621076119,Baixo
C,28.088246416535085,49.894406491781254,Arenoso,Moderada,Sem chuva,0.5074447990654902,1.0508915964727623,Baixo
C,26.490274021740074,41.91696636630343,Rochoso,Forte,Sem chuva,0.36553127523717416,0.0,Baixo
B,32.79669577997301,61.47549104622599,Rochoso,Forte,Sem chuva,0.5803803380743047,1.7249797927839265,Baixo
D,26.771203474778357,44.07699681660531,Arenoso,Leve,Sem chuva,0.7804761807001117,0.5669522439665771,Baixo
D,30.096579327718356,65.77649362162622,Argiloso,Leve,Chovendo,0.5757053716454825,5.18644502675912,Médio
D,21.4572795110749,53.37659347917406,Arenoso,Moderada,Sem chuva,0.8370249889787296,1.623511041309356,Baixo
C,29.12378209075744,48.21557789288704,Argiloso,Leve,Chovendo,0.6936048245544385,3.802927545674586,Médio
D,22.87689066004012,61.27697229429724,Arenoso,Moderada,Sem chuva,0.4084586998677576,1.8345424554530552,Baixo
B,40.28233446536038,74.15555658161476,Rochoso,Leve,Chovendo,0.223189216858891,4.985743031469422,Médio
B,28.05627918508609,64.77269876520246,Arenoso,Leve,Sem chuva,0.6090700500758215,3.11378153704628,Baixo
C,29.689734496343927,41.10220401308881,Rochoso,Leve,Chovendo,0.2290701955784522,1.6824567682085472,Baixo
A,23.972738958518235,54.100756767437204,Arenoso,Moderada,Chovendo,0.6367357980952892,5.210578985087947,Médio
A,25.172683066446467,71.81364818252743,Arenoso,Leve,Chovendo,0.6283854080371053,6.1744857641686295,Alto
A,19.72167106024645,53.76905007676178,Arenoso,Leve,Chovendo,0.600705479608071,4.978454540862485,Médio
C,32.17590819244381,65.49251238128599,Argiloso,Forte,Sem chuva,0.47552812733246075,3.370366787290042,Médio
C,28.00881700215394,65.06282975707359,Argiloso,Forte,Sem chuva,0.7499079369370455,3.566102667393344,Médio
B,24.506758798799623,75.0472430393396,Argiloso,Forte,Sem chuva,0.856019804484548,4.579047754010272,Médio
D,33.36814371817598,61.929900516243485,Rochoso,Forte,Sem chuva,0.8739769008638769,3.598421098388999,Médio
A,25.070318096603128,77.0712526784906,Arenoso,Forte,Chovendo,0.3192019190899305,9.223517145817214,Alto
A,27.204941763611178,62.59611582890331,Argiloso,Moderada,Sem chuva,0.7082950169961922,2.7247664824057196,Baixo
C,28.31924439331864,76.17671908045457,Argiloso,Moderada,Sem chuva,0.9027367249191116,5.378128655873288,Médio
D,28.905445210529273,71.1330766077618,Arenoso,Moderada,Chovendo,0.5970452149567095,7.633218554115353,Alto
D,25.23084021605084,54.6213364894399,Rochoso,Leve,Sem chuva,0.4319558773915415,0.7884112221557131,Baixo
A,25.045114107799403,43.83989481358866,Rochoso,Moderada,Chovendo,0.348256172732212,2.750574903627525,Baixo
A,31.805874389830507,42.39427172640938,Argiloso,Moderada,Chovendo,0.41593962483768854,2.596030631312092,Baixo
C,23.769101739404565,52.483274765965035,Argiloso,Leve,Sem chuva,0.5058464048664574,1.4036846369788794,Baixo
D,24.29257689628338,42.29632180086493,Argiloso,Moderada,Chovendo,0.5144704338372107,2.6864269325088515,Baixo
C,26.46901675597083,42.594257404521,Arenoso,Leve,Sem chuva,0.5938982256528137,0.2915235925746004,Baixo
C,27.199529630021214,69.93272481835136,Argiloso,Leve,Chovendo,0.8011255875463292,7.423761817254575,Alto
C,27.326684413532725,54.095906471701134,Argiloso,Leve,Chovendo,0.638209154599807,4.547993916827093,Médio
C,28.05599035359769,75.84273368213553,Arenoso,Moderada,Sem chuva,0.6125893776508821,4.490219182351634,Médio
C,30.735037663607592,50.108901346064194,Rochoso,Leve,Sem chuva,0.5019614682334665,0.08895798774030561,Baixo
C,29.920522689050788,42.8316274813048,Rochoso,Forte,Chovendo,0.764700366282405,2.951447113683605,Baixo
A,26.76515523026839,41.009934587399485,Argiloso,Forte,Chovendo,1.1135826384670375,4.033742702324477,Médio
D,25.926783813183803,48.53596304347769,Rochoso,Leve,Chovendo,0.24007879570022975,2.501711473622623,Baixo
C,28.84475954794426,51.30329446407986,Rochoso,Moderada,Sem chuva,0.43855061001530266,0.16480320176041685,Baixo
A,23.18162807792194,58.25154407647589,Argiloso,Leve,Chovendo,0.43355101313182,3.6683703281493747,Médio
C,28.093802312452187,64.38469814745527,Rochoso,Moderada,Sem chuva,0.15994517005221232,1.6012188182338827,Baixo
D,30.962827020566124,71.17661293747469,Arenoso,Moderada,Sem chuva,0.3499877325107532,3.6111024399540907,Médio
A,31.339915726364854,54.5600166653605,Argiloso,Forte,Chovendo,0.5124139562159797,5.210161824703645,Médio
B,25.096562933989237,79.24615213586051,Rochoso,Forte,Sem chuva,0.6903980352624093,4.307576420871888,Médio
C,22.806792977628145,77.18953851143694,Argiloso,Leve,Sem chuva,0.742860122819909,4.324764699225001,Médio
C,23.45482848847911,75.42726357023913,Argiloso,Moderada,Chovendo,1.1929028422267554,7.848773661069385,Alto
D,26.017308748285128,60.39061041296236,Rochoso,Moderada,Sem chuva,0.43782056039178696,1.5836368153255294,Baixo
A,30.379106426564878,50.965349151964475,Argiloso,Forte,Sem chuva,0.4036378262865024,1.2643661737286607,Baixo
B,26.300019247683853,59.735544901941246,Argiloso,Forte,Chovendo,0.6120280446040799,5.799721825948798,Alto
A,25.678076430837663,48.83057971508045,Rochoso,Forte,Sem chuva,0.9056081514497244,0.8662631844674242,Baixo
D,25.68646976264548,58.776600162532695,Arenoso,Leve,Chovendo,0.8659803993738379,5.619656105081831,Alto
B,24.83475820181869,58.898719995377704,Rochoso,Forte,Sem chuva,0.41746357100040876,1.283104730519231,Baixo
D,32.27421171356431,69.6521326045453,Rochoso,Leve,Sem chuva,0.4062686387346661,1.5888636364784543,Baixo
C,25.997801657385175,70.56580717917988,Argiloso,Moderada,Sem chuva,0.5305929420992602,4.083321546110953,Médio
A,31.582962657605535,41.66437046406275,Argiloso,Moderada,Chovendo,0.6787388844307094,3.123193430799301,Baixo
C,26.061128884084038,62.32648136605111,Rochoso,Moderada,Sem chuva,0.4760223010464186,1.6574621745414415,Baixo
A,28.3463952992794,64.24617745389068,Rochoso,Moderada,Sem chuva,0.6690466960908292,2.6331103879236992,Baixo
A,25.983995798253403,59.97253725610485,Rochoso,Moderada,Sem chuva,0.6822041113902658,1.5315735033564144,Baixo
D,34.55323685579975,61.39684990618737,Arenoso,Moderada,Sem chuva,0.27630726519533155,2.1722598815881162,Baixo
C,34.524136467081874,59.48553442229593,Rochoso,Leve,Sem chuva,0.09050060350583038,0.9852138269330987,Baixo
D,31.090625793476402,70.9355960228228,Argiloso,Moderada,Sem chuva,0.4384643775694606,3.780976901818053,Médio
D,29.191450473940932,72.0004720368722,Argiloso,Leve,Chovendo,1.195571144662274,6.156239341056063,Alto
B,31.05495893985958,79.23530686634933,Rochoso,Leve,Sem chuva,0.5814170378106392,3.069857042424319,Baixo
D,20.390097707185,58.601680753967635,Argiloso,Moderada,Chovendo,0.41052684680843154,5.021242468012826,Médio
A,31.16886037256745,70.46350929675526,Argiloso,Forte,Chovendo,0.37766440568361787,7.777753471276471,Alto
D,30.295297060790098,73.96279061513683,Rochoso,Forte,Sem chuva,0.4138725995223408,2.9858054924401536,Baixo
A,29.10525613900988,68.35411407374303,Rochoso,Leve,Chovendo,0.7384878928462495,4.55967327033289,Médio
C,27.98880021380352,65.50291275589977,Arenoso,Forte,Sem chuva,0.8483574730870969,3.4533002206390364,Médio
B,31.596832147965333,56.03014248565286,Rochoso,Moderada,Chovendo,0.918470369578268,4.875257419352861,Médio
D,26.989890784533852,64.88372894571143,Arenoso,Moderada,Sem chuva,0.6428447869544269,3.1015260921710217,Baixo
C,15.312957956528106,44.44964712482169,Argiloso,Forte,Sem chuva,0.323085451758134,0.05048913277897099,Baixo
B,32.53548683551115,75.73466368516836,Argiloso,Moderada,Sem chuva,0.1470523866109865,3.7726955000462703,Médio
A,28.54250002981557,75.48469021614872,Argiloso,Forte,Sem chuva,0.8331228397522771,5.24615974610496,Médio
D,25.784487821241488,58.57863619311048,Argiloso,Forte,Sem chuva,0.5613635775897481,3.253603912320097,Baixo
A,27.38665997473828,59.61836002940603,Arenoso,Moderada,Sem chuva,0.20930508436737083,2.4297027040919215,Baixo
B,24.787165698318695,49.04073349111008,Argiloso,Leve,Sem chuva,0.452585145112796,0.30784388761848663,Baixo
B,28.587533898747942,48.13274763237075,Arenoso,Moderada,Sem chuva,0.43476836752186077,0.9123701457136895,Baixo
D,25.324728109876496,65.06070059570906,Arenoso,Forte,Chovendo,0.36918008277119096,6.658043515069231,Alto
C,29.615761566237893,58.95660466128554,Rochoso,Forte,Chovendo,0.5380897126879475,5.501747056330963,Alto
D,31.21187725138873,78.29648558491287,Argiloso,Leve,Sem chuva,0.409759988893362,4.2873505415655835,Médio
A,24.184212006988723,55.24731036311154,Arenoso,Moderada,Sem chuva,0.5539427914362155,2.1023514473094216,Baixo
D,29.01515426155472,54.28188521913362,Rochoso,Moderada,Sem chuva,0.8877173471049833,1.6516230244900842,Baixo
B,28.696013947184944,63.322900094308196,Argiloso,Leve,Sem chuva,0.42871004288713604,2.1518331834495528,Baixo
A,29.427026797745313,75.49037801235518,Arenoso,Leve,Sem chuva,0.5665730493397884,3.8008978432054246,Médio
C,22.39918276447399,49.700117762286744,Argiloso,Moderada,Sem chuva,0.23678922627562243,0.19909584092230487,Baixo
B,24.456224096891894,56.70185796832545,Argiloso,Leve,Chovendo,0.5195322113941249,3.4570996669938023,Médio
B,22.128402009399238,65.63720908780033,Argiloso,Moderada,Chovendo,0.6414519822399883,5.446166128582865,Médio
D,32.93660492971584,75.50947576224016,Rochoso,Leve,Sem chuva,0.441440259686701,3.3371045798183574,Baixo
D,23.43617169864801,62.5334248129827,Argiloso,Moderada,Chovendo,0.15692732806265466,4.591065896712197,Médio
B,16.62945614404522,75.35838857367673,Argiloso,Moderada,Sem chuva,0.42197833582046324,3.977713961565592,Médio
D,30.271005630713788,57.90183054516831,Arenoso,Forte,Sem chuva,0.3808862075111541,2.0002423385739605,Baixo
A,24.51823614024434,77.70350969480441,Rochoso,Leve,Chovendo,0.27910881527118836,5.6139443976787655,Alto
C,28.11340619590995,52.298370049910936,Rochoso,Leve,Chovendo,0.27786229272230323,2.73054701216241,Baixo
D,25.58941925358816,63.595654969748416,Arenoso,Moderada,Sem chuva,0.23413875296607933,2.134198173092421,Baixo
C,31.03603558872512,61.55399562631397,Rochoso,Leve,Chovendo,0.7811944103820203,4.624488280930075,Médio
D,30.63987803873281,55.29168128431172,Arenoso,Forte,Chovendo,0.6185430951183939,5.36449812013881,Médio
B,35.783463316347785,55.21667678852983,Rochoso,Leve,Sem chuva,0.6830113696020489,1.1454481149829223,Baixo
A,25.159695080437757,40.01931473358826,Arenoso,Moderada,Sem chuva,0.48284308488371025,0.0,Baixo
A,23.0181098735384,66.07541113089572,Argiloso,Moderada,Chovendo,0.60452373565929,6.60252856312121,Alto
B,21.305014646708596,70.45501127641074,Arenoso,Forte,Sem chuva,0.5544583674393094,3.83319308775446,Médio
D,25.402099039012402,55.18232980286369,Argiloso,Leve,Sem chuva,0.8902560154760167,2.0252301338135483,Baixo
A,26.5240259122961,44.75584047525517,Argiloso,Leve,Chovendo,0.6876130477486323,3.4664486380031208,Médio
B,25.431737690251385,51.99878447017804,Argiloso,Moderada,Sem chuva,0.649667254692931,1.8792801940147206,Baixo
A,27.88413044397798,41.10030677687415,Rochoso,Moderada,Sem chuva,0.4792126489948139,0.0,Baixo
D,22.47950082929908,40.42201819309394,Argiloso,Leve,Sem chuva,0.4258379523205109,0.0,Baixo
B,23.555225772980613,71.50543621675354,Rochoso,Forte,Chovendo,0.4555748254817457,6.4974209796880995,Alto
A,23.21393657548486,72.15158019669579,Rochoso,Leve,Chovendo,0.09267542506882816,4.389467300885591,Médio
A,23.82869365080095,74.80007717695362,Argiloso,Leve,Sem chuva,0.9926749288325836,3.9361461454487903,Médio
A,23.964169311556937,65.57808920143535,Argiloso,Moderada,Chovendo,0.6668202671068627,6.125289833152231,Alto
C,22.34683798875998,47.852341127275935,Argiloso,Forte,Sem chuva,0.6050928321592081,1.1120615204043824,Baixo
B,34.5358438805861,50.38554814772629,Arenoso,Moderada,Chovendo,0.8963519017875891,5.067445052069012,Médio
B,27.981327925389394,50.080836090814984,Rochoso,Leve,Sem chuva,0.9902350178776708,1.7006272050308926,Baixo
C,25.89974432685039,70.72899006398295,Arenoso,Leve,Sem chuva,0.3544579562676649,2.5611945407756687,Baixo
C,28.94343638771879,60.6412111122222,Arenoso,Leve,Sem chuva,0.4083016896554042,2.076635675028504,Baixo
